,job_name,domain_x,domain_y,plot_x,plot_y,house_domain_fraction,trees_domain_fraction,run_time,dis_spatiotemporal_mean,sweep_perc,delta_s0_bounds_perc
0,20211205T233734,96,216,2,8,4,8,600,6.567772646499759e-07,0.37678112139917697,0.22271412037037036
1,20211205T233917,96,216,2,12,4,8,600,6.567772646499759e-07,0.37678112139917697,0.22271412037037036
2,20211205T234103,96,216,4,4,4,8,600,6.746972907227253e-07,0.3758262602880658,0.18195730452674896
3,20211205T234245,96,216,4,8,4,8,600,5.031247535114915e-07,0.3629436728395062,0.25251093106995887
4,20211205T234424,96,216,4,18,4,8,600,5.479271949073415e-07,0.40630465534979426,0.24307806069958848
5,20211205T234606,96,216,8,8,4,8,600,6.501792849581919e-07,0.4012184927983539,0.21228459362139918
6,20211205T234747,96,216,16,24,4,8,600,6.856508706332234e-07,0.4170138888888889,0.23445859053497942
7,20211205T234928,96,216,16,24,4,8,600,6.856508706332234e-07,0.4170138888888889,0.23445859053497942
8,20211205T235110,96,216,32,24,4,8,600,6.318734307225349e-07,0.3280639146090535,0.2119727366255144
9,20211205T235250,96,216,32,72,4,16,600,3.2347845442501115e-07,0.4094585905349794,0.22146347736625516
10,20211205T235429,96,216,4,4,4,16,600,4.163577984022015e-07,0.3895576131687243,0.2263503086419753
11,20211205T235609,96,216,8,8,4,16,600,3.588207280684891e-07,0.4648533950617284,0.25182613168724277
