job_name,domain_x,domain_y,plot_x,plot_y,house_domain_fraction,trees_domain_fraction,run_time,sw_count,ej_count,sweep_perc,delta_s0_bounds_perc
20211206T045257,96,216,32,36,4,8,600,120300,126139,0.38676697530864196,0.21931584362139916
20211206T045439,96,216,32,72,4,8,600,125671,125937,0.40403485082304524,0.18909143518518517
20211206T045618,96,216,48,72,4,8,600,132640,126823,0.426440329218107,0.2612397119341564
20211206T045756,96,216,96,72,4,8,600,111095,117914,0.3571727109053498,0.21208204732510288
20211206T045934,96,216,96,108,4,8,600,125483,124783,0.4034304269547325,0.2315650720164609
20211206T050632,96,216,4,4,4,4,600,113664,111936,0.3654320987654321,0.2194380144032922
20211206T050811,96,216,4,8,4,4,600,96253,103883,0.3094553755144033,0.175659079218107
20211206T050951,96,216,4,18,4,4,600,120489,114082,0.3873746141975309,0.2108571244855967
20211206T051135,96,216,8,8,4,4,600,111893,104774,0.3597382973251029,0.1775270061728395
20211206T051315,96,216,16,24,4,4,600,102881,108439,0.3307645318930041,0.19840534979423868
20211206T051455,96,216,32,24,4,4,600,109202,102239,0.3510866769547325,0.20182291666666666
20211206T051639,96,216,32,36,4,4,600,100050,95932,0.32166280864197533,0.1973604681069959
20211206T051819,96,216,32,72,4,4,600,130434,109989,0.4193479938271605,0.21615869341563787
20211206T051957,96,216,48,72,4,4,600,106468,113704,0.34229681069958845,0.19370177469135802
20211206T052144,96,216,96,72,4,4,600,92433,108458,0.29717399691358026,0.17862975823045268
